channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
칠리페퍼 Chilly-Pepper,8350,30,2551156,306,85039,47133,"Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop), Folk (국내), Pop (국외), Blues (국내)",모든 분위기
아이셔 Aisyeo,8260,147,6356738,770,43243,1277,"종교음악, CCM (국내)",모든 분위기
Musiq Cooker,25100,325,10175206,405,31308,539,"R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Electronica (국외), Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
PLAY.ZIP플레이집,8080,29,3037014,376,104725,-,Dance (국내),모든 분위기
여돌플리,8570,16,6513856,760,407116,404387,"Folk (국내), R&B / Soul (국내)",모든 분위기
달콤한커피,8360,84,2964,0,35,1856,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외)",모든 분위기
준개의 렛뮤 let’s music,7850,11,3446464,439,313315,-,"Ballad (국내), Folk (국내), R&B / Soul (국내), Rock (국내), Blues (국내)",모든 분위기
프리닉 _ 뮤직플레이리스트,7940,108,2501360,315,23161,170,"Electronica (국내), Jazz (국내), Electronica (국외), Jazz (국외), New Age, 뮤직테라피, Blues (국내)",모든 분위기
플리슨PListen,7870,92,2319869,295,25216,849,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외), Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop)",모든 분위기
연어와 올빼미,9000,131,1669068,185,12741,315,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외)",모든 분위기
